antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({495}),"frozenset({512, 0, 502})",0.73918,0.58932,0.4465,0.6040477285640846,1.0249910550534254,0.010886442400000085,1.0371957168238353
"frozenset({512, 1397, 502})",frozenset({495}),0.56972,0.73918,0.43188,0.758056589201713,1.0255372023075748,0.01075437039999999,1.0780206790481717
"frozenset({512, 1397, 495})",frozenset({502}),0.55896,0.797,0.43188,0.7726492056676685,0.9694469330836493,-0.013611120000000032,0.8928932955618505
"frozenset({512, 502, 495})",frozenset({1397}),0.4465,0.96968,0.43188,0.9672564389697648,0.9975006589491016,-0.0010821200000000197,0.9259835841313253
"frozenset({1397, 502, 495})",frozenset({512}),0.56644,0.75308,0.43188,0.7624461549325612,1.0124371314237015,0.005305364799999934,1.0394275029726514
"frozenset({512, 1397})","frozenset({502, 495})",0.72968,0.5841,0.43188,0.5918758908014472,1.0133126019541983,0.005673912000000003,1.0190527602417732
"frozenset({512, 502})","frozenset({1397, 495})",0.58932,0.71756,0.43188,0.7328446344939931,1.021300845217115,0.009007540800000047,1.0572125304878048
"frozenset({512, 495})","frozenset({1397, 502})",0.5769,0.7715,0.43188,0.7486219448777951,0.9703460076186586,-0.01319834999999997,0.9089894497310717
"frozenset({1397, 502})","frozenset({512, 495})",0.7715,0.5769,0.43188,0.5597926117952041,0.9703460076186586,-0.01319834999999997,0.9611378894058065
"frozenset({1397, 495})","frozenset({512, 502})",0.71756,0.58932,0.43188,0.6018730141033503,1.021300845217115,0.009007540800000047,1.0315301764211706
"frozenset({502, 495})","frozenset({512, 1397})",0.5841,0.72968,0.43188,0.7393939393939394,1.0133126019541983,0.005673912000000003,1.0372744186046512
frozenset({512}),"frozenset({1397, 502, 495})",0.75308,0.56644,0.43188,0.5734848887236416,1.0124371314237015,0.005305364799999934,1.016517325031133
frozenset({1397}),"frozenset({512, 502, 495})",0.96968,0.4465,0.43188,0.4453840442207739,0.9975006589491016,-0.0010821200000000197,0.9979878765340277
frozenset({502}),"frozenset({512, 1397, 495})",0.797,0.55896,0.43188,0.5418820577164366,0.9694469330836493,-0.013611120000000032,0.9627215162138474
frozenset({495}),"frozenset({512, 1397, 502})",0.73918,0.56972,0.43188,0.5842690548986715,1.0255372023075748,0.01075437039999999,1.0349963241132445
"frozenset({512, 0, 1397, 495})",frozenset({502}),0.55896,0.797,0.43188,0.7726492056676685,0.9694469330836493,-0.013611120000000032,0.8928932955618505
"frozenset({512, 0, 502, 495})",frozenset({1397}),0.4465,0.96968,0.43188,0.9672564389697648,0.9975006589491016,-0.0010821200000000197,0.9259835841313253
"frozenset({512, 0, 1397, 502})",frozenset({495}),0.56972,0.73918,0.43188,0.758056589201713,1.0255372023075748,0.01075437039999999,1.0780206790481717
"frozenset({512, 1397, 502, 495})",frozenset({0}),0.43188,1.0,0.43188,1.0,1.0,0.0,inf
"frozenset({0, 1397, 502, 495})",frozenset({512}),0.56644,0.75308,0.43188,0.7624461549325612,1.0124371314237015,0.005305364799999934,1.0394275029726514
"frozenset({512, 0, 495})","frozenset({1397, 502})",0.5769,0.7715,0.43188,0.7486219448777951,0.9703460076186586,-0.01319834999999997,0.9089894497310717
"frozenset({512, 0, 1397})","frozenset({502, 495})",0.72968,0.5841,0.43188,0.5918758908014472,1.0133126019541983,0.005673912000000003,1.0190527602417732
"frozenset({512, 0, 502})","frozenset({1397, 495})",0.58932,0.71756,0.43188,0.7328446344939931,1.021300845217115,0.009007540800000047,1.0572125304878048
"frozenset({512, 1397, 495})","frozenset({0, 502})",0.55896,0.797,0.43188,0.7726492056676685,0.9694469330836493,-0.013611120000000032,0.8928932955618505
"frozenset({512, 502, 495})","frozenset({0, 1397})",0.4465,0.96968,0.43188,0.9672564389697648,0.9975006589491016,-0.0010821200000000197,0.9259835841313253
"frozenset({512, 1397, 502})","frozenset({0, 495})",0.56972,0.73918,0.43188,0.758056589201713,1.0255372023075748,0.01075437039999999,1.0780206790481717
"frozenset({0, 1397, 495})","frozenset({512, 502})",0.71756,0.58932,0.43188,0.6018730141033503,1.021300845217115,0.009007540800000047,1.0315301764211706
"frozenset({0, 502, 495})","frozenset({512, 1397})",0.5841,0.72968,0.43188,0.7393939393939394,1.0133126019541983,0.005673912000000003,1.0372744186046512
"frozenset({0, 1397, 502})","frozenset({512, 495})",0.7715,0.5769,0.43188,0.5597926117952041,0.9703460076186586,-0.01319834999999997,0.9611378894058065
